date,dailyCases,smoothedCases,cumulativeCases,Population,peak
2021-07-25,35,43,134370,2065647,3
2021-07-26,40,44,134414,2065647,3
2021-07-27,52,44,134458,2065647,3
2021-07-28,48,43,134501,2065647,3
2021-07-29,16,39,134540,2065647,3
2021-07-30,106,47,134587,2065647,3
2021-07-31,52,50,134637,2065647,3
2021-08-01,43,51,134688,2065647,3
2021-08-02,54,53,134741,2065647,3
2021-08-03,52,53,134794,2065647,3
2021-08-04,94,60,134854,2065647,3
2021-08-05,103,72,134926,2065647,3
2021-08-06,93,70,134996,2065647,3
2021-08-07,86,75,135071,2065647,3
2021-08-08,69,79,135150,2065647,3
2021-08-09,85,83,135233,2065647,3
2021-08-10,105,91,135324,2065647,3
2021-08-11,152,99,135423,2065647,3
2021-08-12,143,105,135528,2065647,3
2021-08-13,158,114,135642,2065647,3
2021-08-14,142,122,135764,2065647,3
2021-08-15,135,131,135895,2065647,3
2021-08-16,138,139,136034,2065647,3
2021-08-17,148,145,136179,2065647,3
2021-08-18,201,152,136331,2065647,3
2021-08-19,179,157,136488,2065647,3
2021-08-20,209,165,136653,2065647,3
2021-08-21,157,167,136820,2065647,3
2021-08-22,129,166,136986,2065647,3
2021-08-23,161,169,137155,2065647,3
2021-08-24,216,179,137334,2065647,3
2021-08-25,225,182,137516,2065647,3
2021-08-26,248,192,137708,2065647,3
2021-08-27,200,191,137899,2065647,3
2021-08-28,154,190,138089,2065647,3
2021-08-29,133,191,138280,2065647,3
2021-08-30,181,194,138474,2065647,3
2021-08-31,246,198,138672,2065647,3
2021-09-01,274,205,138877,2065647,3
2021-09-02,245,205,139082,2065647,3
2021-09-03,249,212,139294,2065647,3
2021-09-04,204,219,139513,2065647,3
2021-09-05,191,227,139740,2065647,3
2021-09-06,182,227,139967,2065647,3
2021-09-07,202,221,140188,2065647,3
2021-09-08,237,216,140404,2065647,3
2021-09-09,315,226,140630,2065647,3
2021-09-10,286,231,140861,2065647,3
2021-09-11,236,236,141097,2065647,3
2021-09-12,205,238,141335,2065647,3
2021-09-13,234,245,141580,2065647,3
2021-09-14,248,252,141832,2065647,3
2021-09-15,319,263,142095,2065647,3
2021-09-16,284,259,142354,2065647,3
2021-09-17,266,256,142610,2065647,3
2021-09-18,261,260,142870,2065647,3
2021-09-19,213,261,143131,2065647,3
2021-09-20,206,257,143388,2065647,3
2021-09-21,227,254,143642,2065647,3
2021-09-22,251,244,143886,2065647,3
2021-09-23,210,233,144119,2065647,3
2021-09-24,268,234,144353,2065647,3
2021-09-25,209,226,144579,2065647,3
2021-09-26,137,215,144794,2065647,3
2021-09-27,140,206,145000,2065647,3
2021-09-28,188,200,145200,2065647,3
2021-09-29,234,198,145398,2065647,3
2021-09-30,189,195,145593,2065647,3
2021-10-01,149,178,145771,2065647,3
2021-10-02,119,165,145936,2065647,3
2021-10-03,128,164,146100,2065647,3
2021-10-04,119,161,146261,2065647,3
2021-10-05,130,153,146414,2065647,3
2021-10-06,161,142,146556,2065647,3
2021-10-07,175,140,146696,2065647,3
2021-10-08,155,141,146837,2065647,3
2021-10-09,153,146,146983,2065647,3
2021-10-10,91,141,147124,2065647,3
2021-10-11,129,142,147266,2065647,3
2021-10-12,157,146,147412,2065647,3
2021-10-13,145,144,147556,2065647,3
2021-10-14,193,146,147702,2065647,3
2021-10-15,208,154,147856,2065647,3
2021-10-16,141,152,148008,2065647,3
2021-10-17,95,153,148161,2065647,3
2021-10-18,122,152,148313,2065647,3
2021-10-19,119,146,148459,2065647,3
2021-10-20,141,146,148605,2065647,3
2021-10-21,89,131,148736,2065647,3
2021-10-22,120,118,148854,2065647,3
2021-10-23,99,112,148966,2065647,3
2021-10-24,102,113,149079,2065647,3
2021-10-25,103,110,149189,2065647,3
2021-10-26,147,114,149303,2065647,3
2021-10-27,141,114,149417,2065647,3
2021-10-28,168,126,149543,2065647,3
2021-10-29,138,128,149671,2065647,3
2021-10-30,143,135,149806,2065647,3
2021-10-31,141,140,149946,2065647,3
2021-11-01,123,143,150089,2065647,4
2021-11-02,111,138,150227,2065647,4
2021-11-03,164,141,150368,2065647,4
2021-11-04,153,139,150507,2065647,4
2021-11-05,165,143,150650,2065647,4
2021-11-06,204,152,150802,2065647,4
2021-11-07,179,157,150959,2065647,4
2021-11-08,152,161,151120,2065647,4
2021-11-09,234,179,151299,2065647,4
2021-11-10,213,186,151485,2065647,4
2021-11-11,197,192,151677,2065647,4
2021-11-12,188,195,151872,2065647,4
2021-11-13,168,190,152062,2065647,4
2021-11-14,141,185,152247,2065647,4
2021-11-15,135,182,152429,2065647,4
2021-11-16,268,187,152616,2065647,4
2021-11-17,238,191,152807,2065647,4
2021-11-18,191,190,152997,2065647,4
2021-11-19,256,200,153197,2065647,4
2021-11-20,206,205,153402,2065647,4
2021-11-21,216,216,153618,2065647,4
2021-11-22,179,222,153840,2065647,4
2021-11-23,239,218,154058,2065647,4
2021-11-24,302,227,154285,2065647,4
2021-11-25,302,243,154528,2065647,4
2021-11-26,244,241,154769,2065647,4
2021-11-27,219,243,155012,2065647,4
2021-11-28,227,245,155257,2065647,4
2021-11-29,291,261,155518,2065647,4
2021-11-30,340,275,155793,2065647,4
2021-12-01,386,287,156080,2065647,4
2021-12-02,409,302,156382,2065647,4
2021-12-03,383,322,156704,2065647,4
2021-12-04,389,346,157050,2065647,4
2021-12-05,342,363,157413,2065647,4
2021-12-06,345,371,157784,2065647,4
2021-12-07,403,380,158164,2065647,4
2021-12-08,498,396,158560,2065647,4
2021-12-09,557,417,158977,2065647,4
2021-12-10,547,440,159417,2065647,4
2021-12-11,448,449,159866,2065647,4
2021-12-12,413,459,160325,2065647,4
2021-12-13,725,513,160838,2065647,4
2021-12-14,916,586,161424,2065647,4
2021-12-15,965,653,162077,2065647,4
2021-12-16,1145,737,162814,2065647,4
2021-12-17,1162,825,163639,2065647,4
2021-12-18,1606,990,164629,2065647,4
2021-12-19,1410,1133,165762,2065647,4
2021-12-20,2020,1318,167080,2065647,4
2021-12-21,2436,1535,168615,2065647,4
2021-12-22,3348,1875,170490,2065647,4
2021-12-23,3330,2187,172677,2065647,4
2021-12-24,3404,2508,175185,2065647,4
2021-12-25,3069,2717,177902,2065647,4
2021-12-26,3006,2945,180847,2065647,4
2021-12-27,3964,3222,184069,2065647,4
2021-12-28,4669,3541,187610,2065647,4
2021-12-29,4629,3724,191334,2065647,4
2021-12-30,4467,3887,195221,2065647,4
2021-12-31,4030,3976,199197,2065647,4
2022-01-01,3703,4067,203264,2065647,4
2022-01-02,3884,4192,207456,2065647,4
2022-01-03,3673,4151,211607,2065647,4
2022-01-04,4519,4129,215736,2065647,4
2022-01-05,4482,4108,219844,2065647,4
2022-01-06,3828,4017,223861,2065647,4
2022-01-07,3231,3903,227764,2065647,4
2022-01-08,2525,3735,231499,2065647,4
2022-01-09,3255,3645,235144,2065647,4
2022-01-10,3324,3595,238739,2065647,4
2022-01-11,2188,3262,242001,2065647,4
